70年,非共有,83019,有,有抵押 184万元 平安银行 客户偿还,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-10-23,3室2厅1厨3卫,平层,板楼,2011年建/板楼,商品房,低楼层 (共12层),174.66㎡,恒盛欧洲公馆,海淀玉泉路,2013-07-16,两梯两户,精装,1450
70年,非共有,85433,有,无抵押,已上传房本照片,普通住宅,满五年,南,自供暖,2018-10-22,2室1厅1厨1卫,平层,塔楼,2009年建/塔楼,商品房,低楼层 (共22层),91.3㎡,首开知语城,朝阳望京,2010-01-06,两梯八户,精装,780
70年,非共有,62363,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-10-19,2室2厅1厨1卫,平层,板楼,2008年建/板楼,限价商品房,底层 (共6层),81.78㎡,金隅美和园东区,海淀清河,2010-08-11,一梯三户,简装,510
70年,非共有,54978,无,无抵押,已上传房本照片,普通住宅,满五年,东南,集中供暖,2018-10-20,2室1厅1厨1卫,平层,板楼,1994年建/板楼,已购公房,高楼层 (共6层),56.75㎡,甘露园南里,朝阳甘露园,2011-12-20,一梯四户,毛坯,312
70年,非共有,52547,有,暂无数据,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-10-15,3室2厅1厨2卫,平层,板塔结合,2009年建/板塔结合,商品房,高楼层 (共29层),123.51㎡,天时名苑,通州通州北苑,2011-09-16,两梯四户,精装,649
70年,非共有,69435,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-10-18,3室2厅1厨2卫,平层,板楼,2004年建/板楼,商品房,高楼层 (共14层),125.01㎡,易构空间,朝阳大望路,2005-09-29,一梯两户,简装,868
70年,非共有,72720,有,无抵押,已上传房本照片,普通住宅,满五年,东 南 北,集中供暖,2018-10-21,3室2厅1厨2卫,平层,板塔结合,2010年建/板塔结合,商品房,中楼层 (共20层),192.52㎡,禧福汇,朝阳北工大,2011-05-26,两梯两户,精装,1400
70年,非共有,42629,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-10-21,2室1厅1厨1卫,平层,板楼,1999年建/板楼,商品房,中楼层 (共6层),87.97㎡,华兴园,通州通州北苑,2001-08-01,一梯两户,简装,375
70年,非共有,95844,有,无抵押,已上传房本照片,普通住宅,满五年,南,集中供暖,2018-10-14,2室2厅1厨2卫,平层,板楼,2007年建/板楼,商品房,低楼层 (共15层),114.77㎡,珠江帝景伯爵山,朝阳大望路,2010-03-20,两梯三户,精装,1100
70年,非共有,41994,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-10-14,3室2厅1厨2卫,平层,板楼,2008年建/板楼,一类经济适用房,中楼层 (共6层),125.02㎡,天露园二区,昌平回龙观,2010-01-28,一梯两户,精装,525
70年,非共有,54097,有,无抵押,已上传房本照片,普通住宅,满五年,西南,集中供暖,2018-10-13,3室1厅1厨1卫,平层,塔楼,2005年建/塔楼,商品房,中楼层 (共21层),101.67㎡,首座绿洲,丰台洋桥,2007-11-26,三梯十二户,简装,550
70年,非共有,76713,有,无抵押,已上传房本照片,普通住宅,满五年,西北,集中供暖,2018-10-05,3室1厅1厨2卫,平层,板塔结合,2008年建/板塔结合,商品房,低楼层 (共20层),127.75㎡,顺驰蓝调,丰台菜户营,2012-07-09,两梯五户,简装,980
70年,非共有,47984,有,有抵押 66万元 客户偿还,已上传房本照片,普通住宅,满五年,东,集中供暖,2018-10-07,2室1厅1厨2卫,平层,塔楼,2007年建/塔楼,商品房,高楼层 (共25层),99.41㎡,雍景双庐,石景山苹果园,2013-12-02,三梯十户,简装,477
70年,非共有,107954,有,无抵押,已上传房本照片,普通住宅,满两年,南 北,集中供暖,2018-09-01,3室2厅1厨2卫,平层,板楼,2006年建/板楼,商品房,低楼层 (共6层),199.16㎡,北京花园,朝阳燕莎,2015-09-22,一梯两户,精装,2150
70年,非共有,58347,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-10-09,3室1厅1厨2卫,平层,塔楼,1993年建/塔楼,商品房,高楼层 (共31层),123.4㎡,芳城园一区,丰台方庄,2008-07-30,三梯十户,简装,720
70年,非共有,96590,有,无抵押,已上传房本照片,普通住宅,满五年,东南,集中供暖,2018-10-03,2室1厅1厨2卫,平层,塔楼,2003年建/塔楼,商品房,中楼层 (共19层),108.19㎡,交大嘉园,海淀西直门,2003-11-14,三梯十二户,精装,1045
70年,非共有,39961,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-10-06,3室2厅1厨2卫,平层,板楼,2003年建/板楼,一类经济适用房,中楼层 (共5层),140.14㎡,龙跃苑一区,昌平回龙观,2005-04-11,一梯两户,毛坯,560
70年,非共有,66569,有,无抵押,已上传房本照片,普通住宅,满五年,西 北,集中供暖,2018-08-12,3室1厅1厨1卫,平层,塔楼,2000年建/塔楼,已购公房,中楼层 (共22层),108.16㎡,永铁苑,东城陶然亭,2002-09-18,三梯十二户,精装,720
70年,非共有,27069,无,暂无数据,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-09,3室1厅1厨1卫,平层,板楼,2003年建/板楼,商品房,顶层 (共6层),103.44㎡,水屯家园,昌平西关环岛,2007-11-15,一梯两户,其他,280
70年,共有,35777,无,无抵押,已上传房本照片,普通住宅,满两年,南 北,集中供暖,2018-06-03,2室1厅1厨1卫,平层,板楼,2007年建/板楼,商品房,顶层 (共6层),86.65㎡,观音寺南里,大兴观音寺,2015-08-28,一梯两户,精装,310
70年,非共有,41699,无,有抵押 80万元 业主自还,已上传房本照片,普通住宅,满两年,东南,集中供暖,2018-10-28,1室1厅1厨1卫,平层,板楼,1995年建/板楼,商品房,顶层 (共6层),52.28㎡,永华北里,大兴黄村中,2016-10-12,一梯六户,简装,218
70年,非共有,90517,无,暂无数据,已上传房本照片,普通住宅,满五年,东 西,集中供暖,2018-04-30,2室1厅1厨1卫,平层,板楼,1996年建/板楼,已购公房,中楼层 (共6层),71.81㎡,四平园,西城陶然亭,2006-08-07,一梯三户,简装,650
70年,非共有,55508,无,暂无数据,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-01,3室2厅1厨1卫,平层,板楼,1998年建/板楼,已购公房,顶层 (共6层),93.32㎡,育菲园东里,丰台玉泉营,2000-08-09,一梯四户,其他,518
70年,非共有,79414,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-12-20,3室2厅1厨2卫,平层,板楼,2009年建/板楼,商品房,顶层 (共6层),148.59㎡,玺萌公馆,丰台草桥,2010-06-01,一梯三户,精装,1180
70年,非共有,66573,有,无抵押,已上传房本照片,普通住宅,满五年,东南 西北,集中供暖,2018-10-08,4室1厅1厨4卫,平层,板楼,2007年建/板楼,商品房,中楼层 (共7层),247.85㎡,茂华景公馆,石景山杨庄,2010-05-13,一梯一户,精装,1650
70年,非共有,43737,有,有抵押 40万元 交通银行 客户偿还,已上传房本照片,普通住宅,满两年,南,自供暖,2018-07-18,2室1厅1厨1卫,平层,板楼,2012年建/板楼,商品房,高楼层 (共9层),85.74㎡,鲁能7号院颐景溪园,顺义马坡,2016-10-14,一梯三户,精装,375
70年,非共有,79437,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2019-01-13,2室1厅1厨1卫,平层,板楼,1987年建/板楼,已购公房,中楼层 (共16层),66.72㎡,安华西里社区,朝阳安贞,2002-01-29,一梯六户,精装,530
70年,非共有,79963,无,无抵押,已上传房本照片,普通住宅,满五年,东 西,集中供暖,2019-01-07,2室1厅1厨1卫,平层,板楼,1992年建/板楼,已购公房,中楼层 (共6层),63.53㎡,安慧北里秀园,朝阳亚运村,2006-01-06,一梯两户,精装,508
70年,共有,51321,有,无抵押,已上传房本照片,普通住宅,满五年,南,集中供暖,2019-01-09,2室1厅1厨1卫,平层,板楼,2012年建/板楼,商品房,中楼层 (共18层),86.71㎡,金地仰山,大兴高米店南,2013-08-27,两梯四户,简装,445
70年,非共有,89491,有,无抵押,已上传房本照片,普通住宅,满五年,东 西,集中供暖,2019-01-06,4室1厅1厨1卫,平层,板塔结合,1999年建/板塔结合,商品房,低楼层 (共13层),121.8㎡,地坛北里,东城和平里,2011-04-28,一梯两户,精装,1090
70年,非共有,64359,有,无抵押,已上传房本照片,普通住宅,满五年,西南 北,集中供暖,2019-01-04,2室1厅1厨1卫,平层,塔楼,2000年建/塔楼,二类经济适用房,低楼层 (共24层),102.55㎡,望京花园东区,朝阳望京,2003-11-19,两梯八户,简装,660
70年,非共有,54626,无,无抵押,已上传房本照片,普通住宅,满五年,东南,集中供暖,2019-01-05,2室1厅1厨1卫,平层,板楼,1994年建/板楼,已购公房,低楼层 (共6层),56.75㎡,甘露园南里,朝阳甘露园,2011-12-21,一梯四户,精装,310
70年,非共有,67154,有,有抵押 30万元 建设银行，自己可以还 业主自还,已上传房本照片,普通住宅,满五年,西南,集中供暖,2019-01-05,2室1厅1厨1卫,平层,塔楼,1998年建/塔楼,商品房,顶层 (共22层),89.05㎡,方舟苑一期,朝阳望京,2010-05-04,两梯十户,精装,598
70年,非共有,64578,有,有抵押 500万元 民生银行,已上传房本照片,普通住宅,满五年,南 西 北,自供暖,2019-01-06,3室2厅1厨2卫,平层,板楼,2005年建/板楼,商品房,顶层 (共18层),157.95㎡,金海国际南区,朝阳百子湾,2006-03-13,两梯两户,精装,1020
70年,非共有,88030,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2019-01-01,2室1厅1厨1卫,平层,板楼,1987年建/板楼,商品房,中楼层 (共5层),54.3㎡,万寿寺北里,海淀魏公村,2010-11-19,一梯三户,简装,478
70年,共有,75147,有,无抵押,已上传房本照片,普通住宅,满两年,南,集中供暖,2018-12-15,2室1厅1厨1卫,平层,塔楼,2000年建/塔楼,商品房,中楼层 (共24层),83.57㎡,望京花园西区,朝阳望京,2014-04-16,两梯八户,精装,628
70年,非共有,73815,有,有抵押 120万元 北京市公积金管理中心 业主自还,已上传房本照片,普通住宅,满两年,南 西北,集中供暖,2018-12-13,2室1厅1厨1卫,平层,塔楼,2004年建/塔楼,商品房,中楼层 (共24层),82.64㎡,糖人街,丰台太平桥,2015-12-21,三梯十二户,精装,610
70年,非共有,64635,有,有抵押 720万元 中原银行，需要客户的钱 客户偿还,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-12-07,3室1厅1厨2卫,平层,板楼,2008年建/板楼,商品房,中楼层 (共12层),146.98㎡,熙湖,海淀田村,2013-01-31,一梯两户,毛坯,950
70年,非共有,72750,有,无抵押,已上传房本照片,普通住宅,满五年,东北,集中供暖,2018-12-09,2室1厅1厨1卫,平层,塔楼,2007年建/塔楼,商品房,高楼层 (共20层),82.2㎡,星河城东区,丰台马家堡,2008-08-15,两梯九户,简装,598
70年,非共有,40563,无,有抵押 160万元 中信银行 业主自还,已上传房本照片,普通住宅,满两年,南 北,自供暖,2018-12-08,3室1厅1厨1卫,平层,板楼,2003年建/板楼,商品房,顶层 (共6层),118.09㎡,龙腾苑五区,昌平回龙观,2017-01-07,一梯两户,精装,479
70年,非共有,104977,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-12-08,3室2厅1厨3卫,平层,板楼,2005年建/板楼,商品房,低楼层 (共14层),235.29㎡,富力城D区,朝阳双井,2008-06-18,两梯两户,精装,2470
70年,共有,61619,无,有抵押 60万元 客户偿还,已上传房本照片,普通住宅,满两年,南,集中供暖,2018-12-09,3室1厅1厨1卫,平层,板楼,1990年建/板楼,商品房,中楼层 (共6层),61.67㎡,东大街西里,丰台七里庄,2014-06-06,一梯三户,简装,380
70年,非共有,80825,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-11-30,4室2厅2厨2卫,平层,板楼,2012年建/板楼,商品房,低楼层 (共18层),179.4㎡,中海九号公馆,丰台科技园区,2013-09-06,两梯两户,精装,1450
70年,非共有,53278,有,无抵押,已上传房本照片,普通住宅,满五年,东南 北,集中供暖,2018-11-26,2室1厅1厨1卫,平层,塔楼,2007年建/塔楼,商品房,低楼层 (共21层),112.43㎡,珠江峰景,丰台岳各庄,2008-05-27,两梯六户,精装,599
70年,非共有,99620,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-11-29,3室2厅1厨2卫,平层,板楼,2010年建/板楼,商品房,顶层 (共28层),170.65㎡,东湖湾二期,朝阳望京,2011-03-16,两梯两户,毛坯,1700
70年,非共有,48958,有,有抵押 58万元 业主自还,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-11-25,2室2厅1厨1卫,平层,板塔结合,2005年建/板塔结合,商品房,中楼层 (共20层),111.32㎡,顺驰领海,大兴黄村北,2008-07-04,两梯三户,精装,545
70年,非共有,63101,有,无抵押,已上传房本照片,普通住宅,满五年,南,集中供暖,2018-08-07,2室1厅1厨2卫,平层,板楼,2007年建/板楼,商品房,顶层 (共16层),99.84㎡,优筑,丰台玉泉营,2010-01-26,两梯四户,简装,630
70年,非共有,38867,无,暂无数据,已上传房本照片,普通住宅,满两年,南 北,集中供暖,2018-08-08,3室1厅1厨1卫,平层,板楼,1997年建/板楼,商品房,中楼层 (共6层),87.48㎡,晓月苑一里,丰台卢沟桥,2015-01-23,一梯两户,其他,340
70年,非共有,46966,暂无数据,无抵押,已上传房本照片,普通住宅,满五年,东北,暂无数据,2018-08-07,2室1厅1厨1卫,平层,塔楼,2008年建/塔楼,限价商品房,顶层 (共23层),80.91㎡,北辰福第六号院,朝阳常营,2012-06-21,一梯十户,精装,380
70年,非共有,81826,有,有抵押 600万元 建设银行 客户偿还,已上传房本照片,普通住宅,满两年,南 北,集中供暖,2018-08-07,2室1厅1厨2卫,平层,板楼,2005年建/板楼,商品房,中楼层 (共18层),190.65㎡,阳光上东滨河花园,朝阳酒仙桥,2016-05-18,两梯两户,精装,1560
70年,非共有,66821,有,有抵押 40万元 业主自还,已上传房本照片,普通住宅,满两年,南 北,自供暖,2018-08-06,3室2厅1厨1卫,平层,板楼,2009年建/板楼,商品房,中楼层 (共9层),95.48㎡,首开常青藤一期,朝阳东坝,2014-07-04,一梯两户,简装,638
70年,非共有,81560,有,有抵押,已上传房本照片,普通住宅,满两年,东南,集中供暖,2018-08-04,3室1厅1厨2卫,平层,塔楼,2000年建/塔楼,商品房,高楼层 (共22层),117.46㎡,凌云居,西城牛街,2016-11-01,三梯十二户,简装,958
70年,非共有,71683,有,有抵押 80万元 建设银行 业主自还,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-08-05,3室1厅1厨1卫,平层,板楼,2011年建/板楼,商品房,底层 (共12层),89.98㎡,青秀城,丰台玉泉营,2013-05-09,一梯两户,精装,645
70年,非共有,95101,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-07-30,3室1厅1厨2卫,平层,板楼,2006年建/板楼,商品房,高楼层 (共9层),173.5㎡,阳光上东,朝阳酒仙桥,2009-09-24,一梯两户,精装,1650
70年,非共有,80646,无,无抵押,已上传房本照片,普通住宅,满五年,西南 北,集中供暖,2018-08-01,2室1厅1厨1卫,平层,板楼,2000年建/板楼,央产房,底层 (共6层),66.34㎡,马连道路5号院,西城马连道,2005-12-28,一梯两户,简装,535
70年,非共有,59856,有,有抵押 500万元,已上传房本照片,普通住宅,满五年,西北,集中供暖,2018-07-26,2室2厅1厨2卫,平层,塔楼,1998年建/塔楼,商品房,中楼层 (共18层),147.02㎡,国际友谊花园,朝阳国展,2007-01-23,两梯八户,其他,880
70年,非共有,109084,无,无抵押,已上传房本照片,普通住宅,满五年,东 西,集中供暖,2018-07-28,2室1厅1厨1卫,平层,板楼,1988年建/板楼,已购公房,中楼层 (共5层),49.32㎡,化工大院,东城和平里,2002-01-25,一梯三户,其他,538
70年,非共有,40241,有,有抵押 180万元 客户偿还,已上传房本照片,普通住宅,满两年,南 北,自供暖,2018-07-24,3室2厅1厨2卫,平层,板楼,2012年建/板楼,商品房,中楼层 (共6层),141.65㎡,鲁能7号院颐景润园,顺义马坡,2016-12-06,一梯两户,毛坯,570
70年,共有,69308,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-07-21,3室2厅1厨2卫,平层,板楼,2007年建/板楼,商品房,中楼层 (共18层),147.17㎡,优筑,丰台玉泉营,2010-05-24,一梯两户,其他,1020
70年,非共有,64209,有,无抵押,已上传房本照片,普通住宅,满五年,东北,集中供暖,2018-07-19,2室1厅1厨1卫,平层,板塔结合,2004年建/板塔结合,商品房,中楼层 (共23层),65.1㎡,朝阳无限,朝阳甘露园,2013-06-08,两梯七户,简装,418
70年,非共有,79956,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-07-22,2室1厅1厨1卫,平层,板楼,1998年建/板楼,已购公房,高楼层 (共6层),62.41㎡,林大北路9号院,海淀学院路,2013-08-16,一梯三户,简装,499
70年,非共有,44256,有,有抵押 44万元 客户偿还,已上传房本照片,普通住宅,满两年,南 北,集中供暖,2018-07-13,3室2厅1厨1卫,平层,板楼,2013年建/板楼,商品房,中楼层 (共24层),89.48㎡,梧桐苑知秋园,门头沟门头沟其它,2015-05-18,两梯四户,简装,396
70年,共有,58083,有,有抵押 290万元 华夏,已上传房本照片,普通住宅,满五年,东,集中供暖,2018-07-11,1室1厅1厨1卫,平层,塔楼,2003年建/塔楼,商品房,高楼层 (共30层),71.45㎡,怡锦园,丰台科技园区,2008-09-18,三梯十户,其他,415
70年,非共有,82206,有,有抵押 75万元 公积金银行 业主自还,已上传房本照片,普通住宅,满两年,南,集中供暖,2018-07-09,2室1厅1厨2卫,平层,板楼,2004年建/板楼,商品房,高楼层 (共20层),98.29㎡,风荷曲苑,丰台六里桥,2014-03-13,两梯七户,精装,808
70年,非共有,92109,有,无抵押,已上传房本照片,普通住宅,满两年,西南,集中供暖,2018-07-10,2室1厅1厨1卫,平层,塔楼,2008年建/塔楼,商品房,底层 (共30层),108.35㎡,保利金泉,朝阳亚运村,2015-10-10,四梯八户,精装,998
70年,非共有,39185,无,有抵押 100万元 中信银行建国门支行 客户偿还,已上传房本照片,普通住宅,满两年,南 北,集中供暖,2018-07-07,2室1厅1厨1卫,平层,板楼,2003年建/板楼,商品房,高楼层 (共6层),82.94㎡,临镜苑,门头沟滨河西区,2014-09-24,一梯两户,简装,325
70年,非共有,46769,有,有抵押 245万元 北京银行 客户偿还,已上传房本照片,普通住宅,满两年,南 北,集中供暖,2018-07-07,2室1厅1厨1卫,平层,板楼,2006年建/板楼,商品房,中楼层 (共9层),106.91㎡,兴涛社区,大兴高米店南,2016-04-26,一梯两户,简装,500
70年,非共有,39379,有,无抵押,已上传房本照片,普通住宅,满两年,南 北,自供暖,2018-07-01,3室1厅1厨1卫,平层,板楼,2012年建/板楼,商品房,高楼层 (共15层),88.88㎡,长阳国际城三区,房山长阳,2016-05-13,一梯两户,毛坯,350
